12.2,0.404,1.33,-0.454,1.1,0.938,-1.22
12.3,0.39,1.36,-0.449,1.12,0.952,-1.23
12.4,0.377,1.38,-0.442,1.15,0.965,-1.25
12.5,0.363,1.41,-0.435,1.17,0.977,-1.26
12.6,0.349,1.44,-0.428,1.19,0.989,-1.28
12.7,0.335,1.47,-0.421,1.22,1,-1.29
12.8,0.321,1.49,-0.413,1.24,1.01,-1.3
12.9,0.307,1.52,-0.404,1.26,1.02,-1.31
13,0.293,1.55,-0.395,1.28,1.03,-1.33
13.1,0.279,1.58,-0.385,1.3,1.04,-1.34
13.2,0.264,1.6,-0.375,1.32,1.04,-1.35
13.3,0.25,1.63,-0.365,1.34,1.05,-1.36
13.4,0.236,1.66,-0.354,1.36,1.06,-1.37
13.5,0.222,1.69,-0.343,1.38,1.06,-1.38
13.6,0.208,1.71,-0.331,1.4,1.06,-1.39
13.7,0.194,1.74,-0.319,1.41,1.07,-1.4
13.8,0.18,1.77,-0.306,1.43,1.07,-1.4
13.9,0.166,1.8,-0.293,1.45,1.07,-1.41
14,0.152,1.83,-0.279,1.46,1.07,-1.42
14.1,0.139,1.85,-0.265,1.48,1.07,-1.43
14.2,0.125,1.88,-0.251,1.49,1.07,-1.43
14.3,0.112,1.91,-0.236,1.51,1.06,-1.44
14.4,0.0994,1.93,-0.221,1.52,1.06,-1.44
14.5,0.0868,1.96,-0.205,1.53,1.05,-1.45
14.6,0.0745,1.99,-0.189,1.55,1.04,-1.45
14.7,0.0625,2.02,-0.173,1.56,1.04,-1.45
14.8,0.0507,2.04,-0.156,1.57,1.03,-1.46
14.9,0.0393,2.07,-0.139,1.58,1.02,-1.46
15,0.0283,2.1,-0.121,1.59,1.01,-1.46
15.1,0.0176,2.12,-0.104,1.6,0.994,-1.46
15.2,0.00727,2.15,-0.0858,1.61,0.981,-1.47
15.3,-0.00266,2.17,-0.0675,1.62,0.967,-1.47
15.4,-0.0122,2.2,-0.0491,1.62,0.951,-1.47
15.5,-0.0213,2.22,-0.0304,1.63,0.935,-1.47
15.6,-0.0299,2.25,-0.0115,1.64,0.918,-1.47
15.7,-0.0381,2.27,0.00761,1.64,0.899,-1.46
15.8,-0.0459,2.3,0.0269,1.65,0.88,-1.46
15.9,-0.0532,2.32,0.0463,1.65,0.86,-1.46
16,-0.06,2.35,0.0658,1.66,0.839,-1.46
16.1,-0.0663,2.37,0.0855,1.66,0.817,-1.46
16.2,-0.0721,2.39,0.105,1.67,0.794,-1.45
16.3,-0.0774,2.42,0.125,1.67,0.77,-1.45
16.4,-0.0822,2.44,0.145,1.67,0.746,-1.44
16.5,-0.0864,2.46,0.165,1.67,0.72,-1.44
16.6,-0.0902,2.48,0.185,1.68,0.694,-1.43
16.7,-0.0934,2.5,0.205,1.68,0.668,-1.43
16.8,-0.096,2.52,0.225,1.68,0.641,-1.42
16.9,-0.0982,2.54,0.245,1.68,0.613,-1.42
17,-0.0998,2.56,0.264,1.68,0.585,-1.41
17.1,-0.101,2.58,0.284,1.68,0.556,-1.4
17.2,-0.101,2.6,0.304,1.68,0.527,-1.4
17.3,-0.101,2.62,0.323,1.68,0.497,-1.39
17.4,-0.101,2.64,0.343,1.68,0.467,-1.38
17.5,-0.0999,2.66,0.362,1.68,0.436,-1.37
17.6,-0.0983,2.67,0.381,1.68,0.406,-1.36
